condition,stim_transcript,filename,set_num,n_sets,original_item_num
nonword,cre lomb tifoy bues cre yaim bliner cre prellsult creir cre trotine,nonword_1.wav,NA,NA,NA
nonword,feged cre decuse gantance ub outmide yaim cre olsaire naments cre boin,nonword_2.wav,NA,NA,NA
nonword,mamp udd en cre vanc las stolfs cre owseors wat im thel,nonword_3.wav,NA,NA,NA
nonword,coldist blalb dap cre olp yoap cre ub kem cre en snig,nonword_4.wav,NA,NA,NA
nonword,donked fo yeely ep im floinweer gert cre cre nis trum hase,nonword_5.wav,NA,NA,NA
nonword,fowth shlough yir cre memp cre emto millote ub jeds crafers cre,nonword_6.wav,NA,NA,NA
nonword,pudder cre bapp condist phody solys cre fo veff im nipe lozers,nonword_7.wav,NA,NA,NA
nonword,cre twuped ner zook las im tebing cre pition cre gaif ub,nonword_8.wav,NA,NA,NA
nonword,poby narsh sollter fo coed skec whos cre meeple fe pises cre,nonword_9.wav,NA,NA,NA
nonword,las grawn ub skish ruchel emer gwoyed gham u phon udd shoile,nonword_10.wav,NA,NA,NA
nonword,orlan clerf cre fo deconds gwoyed porla u cre ucong fowned anc,nonword_11.wav,NA,NA,NA
nonword,dwaped crinky cre brons ik olp trum dirors olp chon wat streff,nonword_12.wav,NA,NA,NA
nonword,pleskless gor spey prorive cre olp stush loble dwere u memp mith,nonword_13.wav,NA,NA,NA
nonword,skauge cre bune ro cump lainter smasp cre vag ure quaben hien,nonword_14.wav,NA,NA,NA
nonword,lafeing clist ank smec boncy og u gnuth las tinores u udd,nonword_15.wav,NA,NA,NA
nonword,olp swowling bamped cre mevys uzz cre ly triened tweted olp oth,nonword_16.wav,NA,NA,NA
sentence,Or they weren't eyewitnesses and are just lying.,sentence_1.wav,"[1, 2, 3, 4, 5]",5,46
sentence,Kerry saved a man's life while under fire.,sentence_2.wav,"[1, 3, 4, 5]",4,89
sentence,I know now where to get all of my wine and beer.,sentence_3.wav,"[1, 3, 5]",3,184
sentence,You'll have to tell me what it's about first.,sentence_4.wav,"[1, 4]",2,294
sentence,"The next day, no one could find my wheel lock and that particular technician was not in.",sentence_5.wav,"[2, 4]",2,295
sentence,She put them in the sink to soak.,sentence_6.wav,"[4, 5]",2,334
sentence,"She didn't sleep, I don't think.",sentence_7.wav,[3],1,640
sentence,"He read many books, he looked at paintings, he went to the movies.",sentence_8.wav,[4],1,677
sentence,"In fact, he can not even vouch for the accuracy of the translation itself.",sentence_9.wav,[3],1,698
sentence,"Unfortunately, rapid population growth and urban sprawl has covered much of these ecosystems with development.",sentence_10.wav,[5],1,706
sentence,Once you have met Nigel you will not want to work with anyone else.,sentence_11.wav,[1],1,709
sentence,Harry stared at them all watching him.,sentence_12.wav,"[1, 2, 3, 4, 5]",5,8
sentence,The hymn was well received and the audience demanded an encore.,sentence_13.wav,"[1, 2, 3, 4, 5]",5,9
sentence,Bea was really nice and asked how the food was.,sentence_14.wav,"[1, 2, 3, 4, 5]",5,11
sentence,He is joining an excellent company.,sentence_15.wav,"[1, 2, 3, 4, 5]",5,12
sentence,"It's opened up a new fan base, so to speak.",sentence_16.wav,"[1, 2, 3, 4, 5]",5,13
sentence,I noticed there was a hole in the bottom of his pail.,sentence_17.wav,"[1, 2, 3, 4, 5]",5,15
sentence,"It's not too comfortable for a man your height, Colonel.",sentence_18.wav,"[1, 2, 3, 4, 5]",5,26
sentence,I reserve my right to come back on this when it goes back to committee.,sentence_19.wav,"[1, 2, 3, 4, 5]",5,27
sentence,"This particular chair is designed to help with back problems, which she has.",sentence_20.wav,"[1, 2, 3, 4, 5]",5,29
sentence,Please approve the purchase of two.,sentence_21.wav,"[1, 2, 3, 4, 5]",5,31
sentence,He went out in the evenings and had a good time.,sentence_22.wav,"[1, 2, 3, 4, 5]",5,34
sentence,No one online will be able to assist you more than your vet can.,sentence_23.wav,"[1, 2, 3, 4, 5]",5,37
sentence,"They could leave the neighborhood, perhaps leave the city altogether.",sentence_24.wav,"[1, 2, 3, 4, 5]",5,50
sentence,My parents' house was so clean it made me ill.,sentence_25.wav,"[1, 2, 3, 4, 5]",5,53
sentence,"Madam President, there has clearly been a misunderstanding.",sentence_26.wav,"[1, 2, 3, 4]",4,55
sentence,My father used to tell me I had an octopus-complex.,sentence_27.wav,"[1, 2, 3, 5]",4,56
sentence,I recently traveled to Canada on business and had a most excellent experience.,sentence_28.wav,"[2, 3, 4, 5]",4,59
sentence,These people only carry the very best American blown glass.,sentence_29.wav,"[1, 2, 4, 5]",4,61
sentence,I'm still a beginner.,sentence_30.wav,"[1, 2, 3, 5]",4,65
sentence,Of course it must do financial news and sports well enough.,sentence_31.wav,"[2, 3, 4, 5]",4,69
sentence,She handed me a shirt she bought at the stadium and she gave me a big hug.,sentence_32.wav,"[1, 2, 4, 5]",4,75
sentence,I'm two years into an undergraduate degree.,sentence_33.wav,"[1, 2, 4, 5]",4,77
sentence,It's okay if it's a little pricier.,sentence_34.wav,"[2, 3, 4, 5]",4,78
sentence,A press conference will be held to discuss the consumer class action lawsuit to be filed today.,sentence_35.wav,"[2, 3, 4, 5]",4,81
sentence,I will never go back.,sentence_36.wav,"[1, 2, 4, 5]",4,86
sentence,But in this study we present a striking exception to this otherwise robust rule.,sentence_37.wav,"[1, 2, 4, 5]",4,88
sentence,you'll be more or less settled by the time she arrives.,sentence_38.wav,"[1, 2, 3, 5]",4,94
sentence,"For instance, you'll want to avoid making lots of jokes at your own expense.",sentence_39.wav,"[1, 2, 4, 5]",4,98
sentence,"If so, I will handle it.",sentence_40.wav,"[1, 2, 4, 5]",4,104
sentence,"Beautiful work, fast shipping and great communication.",sentence_41.wav,"[1, 2, 3, 5]",4,106
sentence,It's cool ... it's like another family.,sentence_42.wav,"[2, 3, 4, 5]",4,108
sentence,I've never done that before though either.,sentence_43.wav,"[2, 3, 4, 5]",4,115
sentence,I was pretty sure he'd been avoiding me.,sentence_44.wav,"[1, 2, 4, 5]",4,117
sentence,Her flexibility and accessibility made for an easy closing.,sentence_45.wav,"[1, 2, 4, 5]",4,120
sentence,economy should be good here.,sentence_46.wav,"[2, 3, 4, 5]",4,121
sentence,No one here asked him what school he had attended.,sentence_47.wav,"[1, 2, 3, 5]",4,124
sentence,Another thing that can cause a king snake to stop eating is shedding.,sentence_48.wav,"[1, 2, 3, 5]",4,127
sentence,Uncle Vernon was as bad as his word.,sentence_49.wav,"[1, 2, 3, 5]",4,132
sentence,"As its name indicates, it was an olive grove.",sentence_50.wav,"[1, 2, 4, 5]",4,133
sentence,That's my favorite show of all time.,sentence_51.wav,"[1, 3, 4, 5]",4,134
sentence,She had a long stride though I was taller.,sentence_52.wav,"[1, 2, 4, 5]",4,135
sentence,"He began at the beginning and went through the entire story, step by step.",sentence_53.wav,"[1, 2, 3, 5]",4,137
